,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
0,1,90,91,44.65937042236328,45.36634063720703,,,0.70697021484375,0.015830277233145562,2019-05-13,2019-05-14,1 days,,27.441429021598452,31.96541498399631
1,1,91,92,45.36634063720703,45.90978240966797,,,0.5434417724609375,0.011978964245911383,2019-05-14,2019-05-15,1 days,,31.96541498399631,36.283212230251586
2,1,92,93,45.90978240966797,45.70779800415039,,,-0.20198440551757812,-0.004399594049808497,2019-05-15,2019-05-16,1 days,,36.283212230251586,36.38342524347265
3,1,93,94,45.70779800415039,45.448089599609375,,,-0.2597084045410156,-0.005681927720898594,2019-05-16,2019-05-17,1 days,,36.38342524347265,35.20727686703674
4,1,94,95,45.448089599609375,44.02693557739258,,,-1.4211540222167969,-0.031269829705427576,2019-05-17,2019-05-20,3 days,,35.20727686703674,33.86565436142489
5,1,95,96,44.02693557739258,44.8709716796875,,,0.8440361022949219,0.019170902794523048,2019-05-20,2019-05-21,1 days,,33.86565436142489,24.763708509334393
6,1,96,97,44.8709716796875,43.95240020751953,,,-0.9185714721679688,-0.020471396936202146,2019-05-21,2019-05-22,1 days,,24.763708509334393,23.503535106602286
7,1,97,98,43.95240020751953,43.202144622802734,,,-0.7502555847167969,-0.017069729552299684,2019-05-22,2019-05-23,1 days,,23.503535106602286,17.938251420680444
8,1,98,99,43.202144622802734,43.03621292114258,,,-0.16593170166015625,-0.0038408209386109338,2019-05-23,2019-05-24,1 days,,17.938251420680444,18.934922211915634
9,1,99,100,43.03621292114258,42.858272552490234,,,-0.17794036865234375,-0.004134666053874025,2019-05-24,2019-05-28,4 days,,18.934922211915634,21.159600653097314
10,1,100,101,42.858272552490234,42.65388488769531,,,-0.20438766479492188,-0.004768919805262839,2019-05-28,2019-05-29,1 days,,21.159600653097314,20.658540916965052
11,1,101,102,42.65388488769531,42.8751106262207,,,0.22122573852539062,0.005186531991349996,2019-05-29,2019-05-30,1 days,,20.658540916965052,23.53939350696791
12,1,102,103,42.8751106262207,42.09840393066406,,,-0.7767066955566406,-0.018115561317797235,2019-05-30,2019-05-31,1 days,,23.53939350696791,23.2776445036168
13,1,103,104,42.09840393066406,41.67277145385742,,,-0.4256324768066406,-0.010110418378512787,2019-05-31,2019-06-03,3 days,,23.2776445036168,30.39761161623015
14,1,104,105,41.67277145385742,43.19732666015625,,,1.5245552062988281,0.03658396485549109,2019-06-03,2019-06-04,1 days,,30.39761161623015,37.143584567435624
15,1,105,106,43.19732666015625,43.89468002319336,,,0.6973533630371094,0.01614343796141271,2019-06-04,2019-06-05,1 days,,37.143584567435624,38.2698893399613
16,1,106,107,43.89468002319336,44.53914260864258,,,0.6444625854492188,0.014682020352094982,2019-06-05,2019-06-06,1 days,,38.2698893399613,43.53041647801378
17,1,148,149,46.49171829223633,47.371822357177734,,,0.8801040649414062,0.01893034065571153,2019-08-05,2019-08-06,1 days,,36.752129670152534,42.88590389325106
