,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_TDI_DI(C,14)_0","Exit_TDI_DI(C,14)_0","Entry_TDI_DI(C,14)_1","Exit_TDI_DI(C,14)_1"
0,-1,16,19,54.813438415527344,54.63827896118164,,,0.17515945434570312,0.0031955567723714884,2019-01-25,2019-01-30,5 days,,1.1664237976074219,0.8131141662597656,-1.7461509704589844,1.5749702453613281
1,-1,17,20,53.73609161376953,56.02663803100586,,,-2.290546417236328,-0.042625846957752955,2019-01-28,2019-01-31,3 days,,0.19606399536132812,2.3418006896972656,-0.9703598022460938,1.5286865234375
2,1,21,23,55.66486740112305,57.319454193115234,,,1.6545867919921875,0.029724076769449104,2019-02-01,2019-02-05,4 days,,2.6946144104003906,3.2524452209472656,0.352813720703125,-1.2216682434082031
3,1,22,24,56.79944610595703,55.87735366821289,,,-0.9220924377441406,-0.01623418010140476,2019-02-04,2019-02-06,2 days,,4.474113464355469,1.6610603332519531,1.7794990539550781,-1.5913848876953125
4,-1,25,27,55.03239440917969,54.84379577636719,,,0.1885986328125,0.0034270475569393444,2019-02-07,2019-02-11,4 days,,0.33788299560546875,1.168914794921875,-1.3231773376464844,1.4137458801269531
5,1,28,30,56.110740661621094,56.19135284423828,,,0.0806121826171875,0.0014366622444590416,2019-02-12,2019-02-14,2 days,,2.1482315063476562,1.3779144287109375,0.9793167114257812,-0.8429679870605469
6,1,29,33,56.162986755371094,55.76289749145508,,,-0.4000892639160156,-0.007123717719263789,2019-02-13,2019-02-20,7 days,,2.2208824157714844,1.1246185302734375,0.07265090942382812,-1.6844482421875
7,1,31,36,55.71512985229492,55.600677490234375,,,-0.11445236206054688,-0.002054242040967491,2019-02-15,2019-02-25,10 days,,1.9790382385253906,-1.1987686157226562,0.6011238098144531,-1.0962600708007812
8,1,32,37,56.057491302490234,55.833560943603516,,,-0.22393035888671875,-0.003994655374040423,2019-02-19,2019-02-26,7 days,,2.8090667724609375,-1.4858932495117188,0.8300285339355469,-0.2871246337890625
9,1,39,42,56.05948257446289,58.18133544921875,,,2.1218528747558594,0.03785002603150023,2019-02-28,2019-03-05,5 days,,1.0270881652832031,2.0705947875976562,1.0270881652832031,-0.48220062255859375
10,1,40,43,57.15275573730469,57.969852447509766,,,0.8170967102050781,0.014296715874222432,2019-03-01,2019-03-06,5 days,,2.2960243225097656,1.8068656921386719,1.2689361572265625,-0.2637290954589844
11,1,41,44,57.39659118652344,57.26870346069336,,,-0.12788772583007812,-0.0022281414834284252,2019-03-04,2019-03-07,3 days,,2.55279541015625,1.0773506164550781,0.2567710876464844,-0.7295150756835938
12,1,45,49,57.224910736083984,59.3427848815918,,,2.1178741455078125,0.03700965398225353,2019-03-08,2019-03-14,6 days,,1.5097808837890625,3.780426025390625,0.4324302673339844,-0.9395103454589844
13,1,46,50,58.68244171142578,59.231815338134766,,,0.5493736267089844,0.009361805860270023,2019-03-11,2019-03-15,4 days,,2.624950408935547,3.6311378479003906,1.1151695251464844,-0.14928817749023438
14,1,47,51,59.577659606933594,59.14473342895508,,,-0.4329261779785156,-0.007266585845009166,2019-03-12,2019-03-18,6 days,,3.8147621154785156,3.3111724853515625,1.1898117065429688,-0.3199653625488281
15,1,48,53,59.66773223876953,61.029720306396484,,,1.3619880676269531,0.022826208011002436,2019-03-13,2019-03-20,7 days,,4.719936370849609,4.970237731933594,0.9051742553710938,1.0106658935546875
16,1,52,54,59.8369255065918,61.512413024902344,,,1.6754875183105469,0.028000895836902018,2019-03-19,2019-03-21,2 days,,3.9595718383789062,4.359657287597656,0.6483993530273438,-0.6105804443359375
17,1,53,55,61.029720306396484,60.09518814086914,,,-0.9345321655273438,-0.01531273879079853,2019-03-20,2019-03-22,2 days,,4.970237731933594,2.698596954345703,1.0106658935546875,-1.6610603332519531
18,-1,56,58,59.584129333496094,58.6202392578125,,,0.9638900756835938,0.016176959980209515,2019-03-25,2019-03-27,2 days,,1.4027938842773438,1.3515357971191406,-1.2958030700683594,0.11246109008789062
19,-1,57,61,59.208927154541016,59.66374969482422,,,-0.4548225402832031,-0.007681654813573413,2019-03-26,2019-04-01,6 days,,1.23907470703125,0.086090087890625,-0.16371917724609375,0.2040252685546875
