,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
0,1,15,16,53.94210433959961,54.813438415527344,,,0.8713340759277344,0.016153134672725056,2019-01-24,2019-01-25,1 days,,25.43809985384901,28.49905182178381
1,1,16,17,54.813438415527344,53.73609161376953,,,-1.0773468017578125,-0.01965479329340203,2019-01-25,2019-01-28,3 days,,28.49905182178381,35.34482616873612
2,1,27,28,54.84379577636719,56.110740661621094,,,1.2669448852539062,0.02310097007909584,2019-02-11,2019-02-12,1 days,,29.494611068374425,27.532868577467354
3,1,28,29,56.110740661621094,56.162986755371094,,,0.05224609375,0.0009311246498253656,2019-02-12,2019-02-13,1 days,,27.532868577467354,31.643496977015587
4,1,31,32,55.71512985229492,56.057491302490234,,,0.3423614501953125,0.006144856004157928,2019-02-15,2019-02-19,4 days,,21.939274945917973,21.70922821504928
5,1,32,33,56.057491302490234,55.76289749145508,,,-0.29459381103515625,-0.0052552086115574825,2019-02-19,2019-02-20,1 days,,21.70922821504928,29.155668374893253
6,1,33,34,55.76289749145508,54.94779586791992,,,-0.8151016235351562,-0.014617275288825504,2019-02-20,2019-02-21,1 days,,29.155668374893253,34.9486051982971
7,1,39,40,56.05948257446289,57.15275573730469,,,1.0932731628417969,0.019502020222709415,2019-02-28,2019-03-01,1 days,,26.355601137386415,25.802458408597104
8,1,40,41,57.15275573730469,57.39659118652344,,,0.24383544921875,0.004266381315706003,2019-03-01,2019-03-04,3 days,,25.802458408597104,35.44575835054249
9,1,69,70,60.19172668457031,60.845603942871094,,,0.6538772583007812,0.010863241417335745,2019-04-11,2019-04-12,1 days,,28.3173826700625,26.03774413301626
10,1,70,71,60.845603942871094,61.03469467163086,,,0.18909072875976562,0.0031077138939619164,2019-04-12,2019-04-15,3 days,,26.03774413301626,31.85485235485696
11,1,117,118,55.39515686035156,56.000762939453125,,,0.6056060791015625,0.010932473404277276,2019-06-20,2019-06-21,1 days,,22.37163637448947,17.101841686613724
12,1,118,119,56.000762939453125,55.56932830810547,,,-0.43143463134765625,-0.007704084885666873,2019-06-21,2019-06-24,3 days,,17.101841686613724,30.518231284099343
13,1,125,126,55.36530303955078,55.8823356628418,,,0.5170326232910156,0.009338567566796518,2019-07-02,2019-07-03,1 days,,25.597283103174945,26.84964912089032
14,1,126,127,55.8823356628418,56.36402893066406,,,0.4816932678222656,0.008619776931452883,2019-07-03,2019-07-05,2 days,,26.84964912089032,30.164322927393627
15,1,134,135,57.39857864379883,57.064178466796875,,,-0.3344001770019531,-0.00582593131926068,2019-07-16,2019-07-17,1 days,,26.24277522925665,37.29339355930948
16,1,176,177,61.706485748291016,61.288482666015625,,,-0.4180030822753906,-0.0067740542538831106,2019-09-13,2019-09-16,3 days,,29.533682340851144,35.00001021793493
17,1,178,179,61.20140075683594,61.339237213134766,,,0.13783645629882812,0.002252178129818816,2019-09-17,2019-09-18,1 days,,29.65416373745856,30.66971861683311
18,1,182,183,61.440757751464844,60.626644134521484,,,-0.8141136169433594,-0.013250383731212234,2019-09-23,2019-09-24,1 days,,29.734368781610357,45.71428996069874
19,1,206,207,62.91421127319336,64.142333984375,,,1.2281227111816406,0.019520592984131113,2019-10-25,2019-10-28,3 days,,28.264337231350126,21.172353558014436
20,1,207,208,64.142333984375,62.73307800292969,,,-1.4092559814453125,-0.02197076242639695,2019-10-28,2019-10-29,1 days,,21.172353558014436,29.139072967184944
21,1,208,209,62.73307800292969,62.73506546020508,,,0.001987457275390625,3.16811694669461e-05,2019-10-29,2019-10-30,1 days,,29.139072967184944,29.473681328609686
22,1,209,210,62.73506546020508,62.64051818847656,,,-0.09454727172851562,-0.0015070881178643747,2019-10-30,2019-10-31,1 days,,29.473681328609686,39.09853612035407
23,1,288,289,68.9861831665039,69.19269561767578,,,0.206512451171875,0.0029935335119706252,2020-02-25,2020-02-26,1 days,,84.2592614716484,81.3093937924565
24,1,289,290,69.19269561767578,65.43465423583984,,,-3.7580413818359375,-0.05431268934225364,2020-02-26,2020-02-27,1 days,,81.3093937924565,88.35314018228424
25,1,290,291,65.43465423583984,66.64387512207031,,,1.2092208862304688,0.018479823884637536,2020-02-27,2020-02-28,1 days,,88.35314018228424,88.77984911544138
26,1,291,292,66.64387512207031,68.9861831665039,,,2.3423080444335938,0.03514663635845361,2020-02-28,2020-03-02,3 days,,88.77984911544138,70.51181805293172
27,1,316,317,54.37503433227539,58.87800598144531,,,4.502971649169922,0.08281321942075714,2020-04-03,2020-04-06,3 days,,21.691590804660592,24.262590283445704
28,1,317,318,58.87800598144531,58.846656799316406,,,-0.03134918212890625,-0.0005324429998323499,2020-04-06,2020-04-07,1 days,,24.262590283445704,23.002377750963845
29,1,318,319,58.846656799316406,60.06283950805664,,,1.2161827087402344,0.020666980503034393,2020-04-07,2020-04-08,1 days,,23.002377750963845,24.220254747421023
30,1,319,320,60.06283950805664,60.04144287109375,,,-0.021396636962890625,-0.00035623751954017013,2020-04-08,2020-04-09,1 days,,24.220254747421023,26.400842451647023
31,1,320,321,60.04144287109375,60.2325325012207,,,0.19108963012695312,0.003182628880808336,2020-04-09,2020-04-13,4 days,,26.400842451647023,29.824562831485437
32,1,321,322,60.2325325012207,62.96049499511719,,,2.7279624938964844,0.04529051628106795,2020-04-13,2020-04-14,1 days,,29.824562831485437,28.734584480770323
33,1,322,323,62.96049499511719,62.56587600708008,,,-0.3946189880371094,-0.006267723722116703,2020-04-14,2020-04-15,1 days,,28.734584480770323,26.171315659892556
34,1,323,324,62.56587600708008,62.57234191894531,,,0.006465911865234375,0.00010334566185088434,2020-04-15,2020-04-16,1 days,,26.171315659892556,28.099592304157042
35,1,324,325,62.57234191894531,63.645713806152344,,,1.0733718872070312,0.017154094833104594,2020-04-16,2020-04-17,1 days,,28.099592304157042,19.37715331938638
36,1,325,326,63.645713806152344,62.75746154785156,,,-0.8882522583007812,-0.013956199171654471,2020-04-17,2020-04-20,3 days,,19.37715331938638,34.75891440195592
37,1,340,341,68.88765716552734,69.84556579589844,,,0.9579086303710938,0.01390537390565294,2020-05-08,2020-05-11,3 days,,27.403356881005735,21.977653600974435
38,1,341,342,69.84556579589844,68.43183135986328,,,-1.4137344360351562,-0.0202408616771228,2020-05-11,2020-05-12,1 days,,21.977653600974435,35.37568676232482
39,1,357,358,71.6200942993164,70.37852478027344,,,-1.2415695190429688,-0.0173354912638648,2020-06-03,2020-06-04,1 days,,22.264876223668708,26.126123288040006
40,1,358,359,70.37852478027344,71.65840148925781,,,1.279876708984375,0.018185614333068756,2020-06-04,2020-06-05,1 days,,26.126123288040006,23.324393595450587
41,1,359,360,71.65840148925781,72.05750274658203,,,0.39910125732421875,0.00556949707263632,2020-06-05,2020-06-08,3 days,,23.324393595450587,36.76470175746283
42,1,398,399,74.04349517822266,73.78523254394531,,,-0.25826263427734375,-0.0034879854557878787,2020-07-31,2020-08-03,3 days,,18.29510383225545,24.849224026878645
43,1,399,400,73.78523254394531,73.31448364257812,,,-0.4707489013671875,-0.006379988042821694,2020-08-03,2020-08-04,1 days,,24.849224026878645,27.540116462976087
44,1,400,401,73.31448364257812,73.60260772705078,,,0.28812408447265625,0.003929974953889248,2020-08-04,2020-08-05,1 days,,27.540116462976087,29.096057069580496
45,1,401,402,73.60260772705078,74.88945007324219,,,1.2868423461914062,0.017483651543482637,2020-08-05,2020-08-06,1 days,,29.096057069580496,39.37382181936696
46,1,422,423,81.08782196044922,78.68431854248047,,,-2.40350341796875,-0.029640744563851573,2020-09-03,2020-09-04,1 days,,81.10577450789711,85.50432126215657
47,1,423,424,78.68431854248047,75.81752014160156,,,-2.8667984008789062,-0.036434177152225855,2020-09-04,2020-09-08,4 days,,85.50432126215657,85.98369770794405
48,1,424,425,75.81752014160156,76.99340057373047,,,1.1758804321289062,0.015509349685043139,2020-09-08,2020-09-09,1 days,,85.98369770794405,72.95443847360883
49,1,474,475,87.66388702392578,86.61788177490234,,,-1.0460052490234375,-0.01193199713740678,2020-11-17,2020-11-18,1 days,,17.580631851028016,20.877581562090043
50,1,475,476,86.61788177490234,87.51011657714844,,,0.8922348022460938,0.01030081530468241,2020-11-18,2020-11-19,1 days,,20.877581562090043,15.647217644272772
51,1,476,477,87.51011657714844,86.40589904785156,,,-1.104217529296875,-0.012618170018358965,2020-11-19,2020-11-20,1 days,,15.647217644272772,16.354007625358875
52,1,477,478,86.40589904785156,85.96699523925781,,,-0.43890380859375,-0.005079558380044036,2020-11-20,2020-11-23,3 days,,16.354007625358875,18.338717598987202
53,1,478,479,85.96699523925781,87.77535247802734,,,1.8083572387695312,0.021035482672584038,2020-11-23,2020-11-24,1 days,,18.338717598987202,23.994344447332466
54,1,479,480,87.77535247802734,87.78679656982422,,,0.011444091796875,0.000130379331712005,2020-11-24,2020-11-25,1 days,,23.994344447332466,24.407746111396605
55,1,480,481,87.78679656982422,88.92584228515625,,,1.1390457153320312,0.01297513703471398,2020-11-25,2020-11-27,2 days,,24.407746111396605,33.16016912822079
56,1,482,483,87.30260467529297,89.34087371826172,,,2.03826904296875,0.02334717332374847,2020-11-30,2020-12-01,1 days,,28.51851223917879,25.193793721641583
57,1,483,484,89.34087371826172,90.81431579589844,,,1.4734420776367188,0.016492362524719084,2020-12-01,2020-12-02,1 days,,25.193793721641583,33.33331786415869
58,1,485,486,90.65857696533203,90.75410461425781,,,0.09552764892578125,0.0010537077916226156,2020-12-03,2020-12-04,1 days,,27.31957977364486,33.9199932617167
59,1,535,536,105.42695617675781,104.78951263427734,,,-0.6374435424804688,-0.006046305096883753,2021-02-17,2021-02-18,1 days,,26.6940447563462,31.769307384441333
60,1,537,538,103.94355010986328,102.22427368164062,,,-1.7192764282226562,-0.016540482082875396,2021-02-19,2021-02-22,3 days,,23.380902247122677,41.202183924243045
61,1,562,563,100.75479888916016,101.80278015136719,,,1.0479812622070312,0.010401303697304964,2021-03-26,2021-03-29,3 days,,28.623377812373178,36.165693155982694
62,1,570,571,111.98609924316406,112.9932861328125,,,1.0071868896484375,0.008993856348737062,2021-04-08,2021-04-09,1 days,,27.496839070308695,28.76984219592329
63,1,571,572,112.9932861328125,111.69698333740234,,,-1.2963027954101562,-0.011472387783168614,2021-04-09,2021-04-12,3 days,,28.76984219592329,33.69480859958523
64,1,573,574,112.18514251708984,111.56212615966797,,,-0.623016357421875,-0.0055534658462190745,2021-04-13,2021-04-14,1 days,,26.48026937531047,22.597405642811935
65,1,574,575,111.56212615966797,113.71881866455078,,,2.1566925048828125,0.019331762302523314,2021-04-14,2021-04-15,1 days,,22.597405642811935,23.366164660023216
66,1,575,576,113.71881866455078,113.59440612792969,,,-0.12441253662109375,-0.0010940364847448203,2021-04-15,2021-04-16,1 days,,23.366164660023216,25.217396272027344
67,1,576,577,113.59440612792969,113.94324493408203,,,0.34883880615234375,0.003070915356161885,2021-04-16,2021-04-19,3 days,,25.217396272027344,31.8661914189114
68,1,608,609,117.96552276611328,116.82048034667969,,,-1.1450424194335938,-0.00970658538684932,2021-06-02,2021-06-03,1 days,,21.1358262427528,31.350997332670502
69,1,660,661,137.65138244628906,136.01124572753906,,,-1.64013671875,-0.011915148904443229,2021-08-16,2021-08-17,1 days,,27.939449759660647,51.189134113020934
70,1,704,705,142.0986328125,142.55543518066406,,,0.4568023681640625,0.003214685174113052,2021-10-18,2021-10-19,1 days,,22.55153897997137,22.727266534580664
71,1,705,706,142.55543518066406,141.0944366455078,,,-1.46099853515625,-0.010248634387771238,2021-10-19,2021-10-20,1 days,,22.727266534580664,24.873090487616935
